ID,Sex,Team,Age,Height,Weight,Medal
697,M,Sweden,22.0,,,Gold
698,M,New Zealand,27.0,179.0,68.0,Gold
699,M,United States,22.0,,,Gold
702,M,Germany,24.0,184.0,69.0,Silver
702,M,Germany,24.0,184.0,69.0,Silver
702,M,Germany,28.0,184.0,69.0,Silver
716,M,Argentina,20.0,168.0,72.0,Gold
723,M,Cuba,23.0,188.0,91.0,Bronze
727,M,Uruguay,27.0,,,Bronze
745,M,Poland,23.0,162.0,60.0,Bronze
762,M,United States,21.0,,,Gold
766,M,Czechoslovakia,25.0,187.0,83.0,Silver
772,M,Canada,24.0,175.0,95.0,Gold
775,M,Germany,26.0,,,Bronze
777,M,France,24.0,,,Gold
785,M,Poland,22.0,179.0,78.0,Silver
807,M,United States,22.0,188.0,78.0,Silver
807,M,United States,22.0,188.0,78.0,Bronze
813,M,United States,36.0,,,Silver
818,M,United States,31.0,,,Gold
830,M,Great Britain,21.0,178.0,78.0,Silver
830,M,Great Britain,25.0,178.0,78.0,Silver
832,F,Great Britain,29.0,164.0,51.0,Gold
832,F,Great Britain,33.0,164.0,51.0,Gold
836,M,United States,27.0,188.0,78.0,Gold
836,M,United States,27.0,188.0,78.0,Silver
837,F,United States,26.0,188.0,81.0,Bronze
840,F,Great Britain,24.0,164.0,69.0,Bronze
846,F,New Zealand,23.0,193.0,120.0,Gold
846,F,New Zealand,27.0,193.0,120.0,Gold
846,F,New Zealand,31.0,193.0,120.0,Silver
849,M,Germany,29.0,189.0,87.0,Gold
850,M,Germany,26.0,,,Gold
851,M,Poland,23.0,171.0,58.0,Silver
882,M,Ghana,17.0,180.0,79.0,Bronze
884,M,Switzerland,,,,Bronze
896,M,Nigeria,22.0,181.0,82.0,Silver
908,M,Nigeria,19.0,190.0,80.0,Silver
918,M,Brazil,24.0,179.0,74.0,Silver
918,M,Brazil,28.0,179.0,74.0,Silver
923,M,Nigeria,22.0,186.0,78.0,Silver
925,F,Brazil,25.0,187.0,65.0,Gold
957,M,Ghana,18.0,,,Bronze
962,M,United States,20.0,,,Gold
963,M,United States,26.0,188.0,80.0,Gold
964,M,Great Britain,32.0,,,Silver
966,M,Brazil,26.0,180.0,72.0,Silver
967,M,Germany,23.0,172.0,62.0,Silver
968,F,Austria,16.0,,,Bronze
973,M,Sweden,37.0,,,Bronze
974,M,Sweden,45.0,,,Gold
975,F,Sweden,39.0,,,Bronze
977,M,Sweden,19.0,,,Gold
977,M,Sweden,19.0,,,Gold
977,M,Sweden,27.0,,,Silver
980,F,Great Britain,19.0,179.0,70.0,Gold
980,F,Great Britain,19.0,179.0,70.0,Gold
980,F,Great Britain,23.0,179.0,70.0,Bronze
980,F,Great Britain,23.0,179.0,70.0,Bronze
1000,M,Lithuania,26.0,202.0,100.0,Bronze
1017,M,United States,19.0,198.0,100.0,Gold
1017,M,United States,23.0,198.0,100.0,Gold
1017,M,United States,23.0,198.0,100.0,Silver
1017,M,United States,23.0,198.0,100.0,Gold
