ID,Sex,Team,NOC,Year,Season,Sport,Medal
131985,M,Greece,GRE,1896,Summer,Gymnastics,Silver
68911,M,France,FRA,1896,Summer,Athletics,Bronze
12068,M,United States,USA,1896,Summer,Athletics,Silver
127573,M,Greece,GRE,1896,Summer,Fencing,Bronze
22700,M,United States,USA,1896,Summer,Athletics,Gold
122526,M,France,FRA,1896,Summer,Athletics,Silver
22700,M,United States,USA,1896,Summer,Athletics,Bronze
76252,M,France,FRA,1896,Summer,Cycling,Gold
122329,M,Greece,GRE,1896,Summer,Wrestling,Silver
121920,M,Greece,GRE,1896,Summer,Shooting,Bronze
121713,M,Great Britain/Germany,GER,1896,Summer,Tennis,Gold
135481,M,Switzerland,SUI,1896,Summer,Gymnastics,Gold
135481,M,Switzerland,SUI,1896,Summer,Gymnastics,Silver
135481,M,Switzerland,SUI,1896,Summer,Gymnastics,Silver
74612,M,Germany,GER,1896,Summer,Gymnastics,Gold
24423,M,United States,USA,1896,Summer,Athletics,Gold
4116,M,Greece,GRE,1896,Summer,Swimming,Silver
25072,M,Greece,GRE,1896,Summer,Athletics,Bronze
25184,M,Hungary,HUN,1896,Summer,Athletics,Silver
74612,M,Germany,GER,1896,Summer,Gymnastics,Gold
12929,M,Great Britain,GBR,1896,Summer,Tennis,Gold
4189,M,Greece,GRE,1896,Summer,Gymnastics,Gold
12929,M,Great Britain/Germany,GBR,1896,Summer,Tennis,Gold
74168,M,Greece,GRE,1896,Summer,Swimming,Gold
119585,M,Greece,GRE,1896,Summer,Athletics,Bronze
22700,M,United States,USA,1896,Summer,Athletics,Silver
93606,M,Greece,GRE,1896,Summer,Athletics,Bronze
66362,M,United States,USA,1896,Summer,Athletics,Bronze
107613,M,Germany,GER,1896,Summer,Gymnastics,Gold
29467,M,Greece,GRE,1896,Summer,Shooting,Bronze
126142,M,Greece,GRE,1896,Summer,Weightlifting,Bronze
126142,M,Greece,GRE,1896,Summer,Athletics,Bronze
80474,M,Greece,GRE,1896,Summer,Gymnastics,Gold
32330,M,Great Britain,GBR,1896,Summer,Weightlifting,Gold
32330,M,Great Britain,GBR,1896,Summer,Weightlifting,Silver
21795,M,United States,USA,1896,Summer,Athletics,Gold
30049,M,Greece,GRE,1896,Summer,Swimming,Bronze
75597,M,Pupilles de Neptune de Lille-1,FRA,1900,Summer,Swimming,Bronze
75648,M,Crabe II-1,FRA,1900,Summer,Sailing,Silver
75648,M,Crabe II-4,FRA,1900,Summer,Sailing,Bronze
82573,M,France,FRA,1900,Summer,Archery,Gold
75677,M,Societ Nautique de la Marne-1,FRA,1900,Summer,Rowing,Silver
12696,M,Netherlands,NED,1900,Summer,Shooting,Bronze
82504,M,Favorite Hammonia-3,GER,1900,Summer,Rowing,Bronze
79412,M,Scamasaxe-3,FRA,1900,Summer,Sailing,Silver
76249,M,France,FRA,1900,Summer,Fencing,Silver
81899,M,France,FRA,1900,Summer,Shooting,Bronze
11514,M,Esterel-1,FRA,1900,Summer,Sailing,Gold
81896,M,Univ. of Brussels,BEL,1900,Summer,Football,Bronze
85862,M,Moseley Wanderers,GBR,1900,Summer,Rugby,Silver
91167,M,Rowing Club Castillon-3,FRA,1900,Summer,Rowing,Bronze
76805,M,Scotia,GBR,1900,Summer,Sailing,Gold
11634,M,Union des Socits Franais de Sports Athletiques,FRA,1900,Summer,Rugby,Gold
81899,M,France,FRA,1900,Summer,Shooting,Silver
85802,M,Upton Park FC,GBR,1900,Summer,Football,Gold
91740,M,France,FRA,1900,Summer,Shooting,Silver
75597,M,France,FRA,1900,Summer,Swimming,Bronze
85040,M,Univ. of Brussels,BEL,1900,Summer,Football,Bronze
85325,M,Austria,AUT,1900,Summer,Fencing,Bronze
93560,M,Club Nautique de Lyon-2,FRA,1900,Summer,Rowing,Silver
93529,M,France,FRA,1900,Summer,Fencing,Silver
93521,M,Esterel-1,FRA,1900,Summer,Sailing,Gold
84716,M,Aschenbrodel,GER,1900,Summer,Sailing,Gold
84716,M,Aschenbrodel,GER,1900,Summer,Sailing,Silver
84123,M,Belgium-1,BEL,1900,Summer,Equestrianism,Gold
92908,M,USFSA,FRA,1900,Summer,Football,Silver
92824,M,Univ. of Brussels,BEL,1900,Summer,Football,Bronze
83439,M,France,FRA,1900,Summer,Equestrianism,Gold
92232,M,Belgium,BEL,1900,Summer,Shooting,Bronze
83064,M,Frankfurt Club,GER,1900,Summer,Rugby,Silver
91740,M,France,FRA,1900,Summer,Shooting,Gold
76805,M,Scotia,GBR,1900,Summer,Sailing,Gold
91740,M,France,FRA,1900,Summer,Shooting,Bronze
91740,M,France,FRA,1900,Summer,Shooting,Silver
12567,M,Switzerland,SUI,1900,Summer,Shooting,Gold
11696,M,Devon and Somerset Wanderers,GBR,1900,Summer,Cricket,Gold
89913,M,Norway,NOR,1900,Summer,Shooting,Bronze
78845,M,Pupilles de Neptune de Lille #2-1,FRA,1900,Summer,Water Polo,Bronze
85949,M,Denmark,DEN,1900,Summer,Shooting,Silver
87978,M,Royal Club Nautique de Gand,BEL,1900,Summer,Rowing,Silver
86975,M,Great Britain-2,GBR,1900,Summer,Tennis,Bronze
86975,M,Great Britain,GBR,1900,Summer,Tennis,Bronze
78845,M,Pupilles de Neptune de Lille-1,FRA,1900,Summer,Swimming,Bronze
86368,M,Denmark/Sweden,SWE,1900,Summer,Tug-Of-War,Gold
78848,M,France,FRA,1900,Summer,Archery,Bronze
85949,M,Denmark,DEN,1900,Summer,Shooting,Silver
78885,M,France,FRA,1900,Summer,Fencing,Gold
85949,M,Denmark,DEN,1900,Summer,Shooting,Silver
81186,M,Favorite Hammonia-3,GER,1900,Summer,Rowing,Bronze
79304,M,Favorite-1,FRA,1900,Summer,Sailing,Silver
80062,M,France,FRA,1900,Summer,Fencing,Bronze
79376,M,Brussels Swimming and Water Polo Club,BEL,1900,Summer,Water Polo,Silver
10920,M,Tritons Lillois-2,FRA,1900,Summer,Swimming,Silver
79412,M,Turquoise-1,FRA,1900,Summer,Sailing,Bronze
79412,M,Scamasaxe-2,FRA,1900,Summer,Sailing,Bronze
12115,M,Olle,FRA,1900,Summer,Sailing,Gold
88101,M,Minerva Amsterdam,NED,1900,Summer,Rowing,Bronze
88787,M,Union des Socits Franais de Sports Athletiques,FRA,1900,Summer,Rugby,Gold
78807,M,Scamasaxe-3,FRA,1900,Summer,Sailing,Silver
79473,M,Minerva Amsterdam,NED,1900,Summer,Rowing,Bronze
89913,M,Norway,NOR,1900,Summer,Shooting,Silver
77406,M,United States,USA,1900,Summer,Athletics,Silver
81392,M,Sarcelle-3,FRA,1900,Summer,Sailing,Bronze
11733,M,Moseley Wanderers,GBR,1900,Summer,Rugby,Silver
77406,M,United States,USA,1900,Summer,Athletics,Bronze
77415,M,"BLO Polo Club, Rugby",USA,1900,Summer,Polo,Silver
89913,M,Norway,NOR,1900,Summer,Shooting,Bronze
89626,M,Canada,CAN,1900,Summer,Athletics,Gold
89626,M,Canada,CAN,1900,Summer,Athletics,Bronze
10161,M,Great Britain,GBR,1900,Summer,Athletics,Gold
10161,M,Great Britain,GBR,1900,Summer,Athletics,Silver
10161,M,Amateur Athletic Association,GBR,1900,Summer,Athletics,Gold
77795,M,United States,USA,1900,Summer,Athletics,Silver
12293,M,USFSA,FRA,1900,Summer,Football,Silver
81262,M,United States,USA,1900,Summer,Athletics,Bronze
10346,M,Foxhunters Hurlingham,GBR,1900,Summer,Polo,Gold
11068,M,Frankfurt Club,GER,1900,Summer,Rugby,Silver
78807,M,Scamasaxe-2,FRA,1900,Summer,Sailing,Bronze
89913,M,Norway,NOR,1900,Summer,Shooting,Silver
78262,M,Minerva Amsterdam,NED,1900,Summer,Rowing,Bronze
4,M,Denmark/Sweden,DEN,1900,Summer,Tug-Of-War,Gold
93736,M,Libellule de Paris,FRA,1900,Summer,Water Polo,Bronze
6211,M,France,FRA,1900,Summer,Fencing,Gold
6211,M,France,FRA,1900,Summer,Fencing,Gold
112430,M,Moseley Wanderers,GBR,1900,Summer,Rugby,Silver
112502,M,Mascotte,NED,1900,Summer,Sailing,Silver
5989,M,France,FRA,1900,Summer,Croquet,Gold
5989,M,France,FRA,1900,Summer,Croquet,Gold
111484,M,France,FRA,1900,Summer,Swimming,Silver
112720,M,Denmark/Sweden,SWE,1900,Summer,Tug-Of-War,Gold
113183,M,Brussels Swimming and Water Polo Club,BEL,1900,Summer,Water Polo,Silver
113397,M,Club Nautique de Lyon-2,FRA,1900,Summer,Rowing,Silver
5871,M,Union des Socits Franais de Sports Athletiques,FRA,1900,Summer,Cricket,Silver
113625,M,Upton Park FC,GBR,1900,Summer,Football,Gold
113669,M,Univ. of Brussels,BEL,1900,Summer,Football,Bronze
114107,M,Denmark/Sweden,SWE,1900,Summer,Tug-Of-War,Gold
5959,M,Carabinier-15,FRA,1900,Summer,Sailing,Gold
110468,M,Netherlands,NED,1900,Summer,Shooting,Bronze
6510,M,USFSA,FRA,1900,Summer,Football,Silver
109497,M,United States,USA,1900,Summer,Athletics,Bronze
106413,M,Norway,NOR,1900,Summer,Shooting,Silver
106943,M,Gwendoline-2,FRA,1900,Summer,Sailing,Bronze
107090,M,Denmark/Sweden,DEN,1900,Summer,Tug-Of-War,Gold
107171,M,Frankfurt Club,GER,1900,Summer,Rugby,Silver
107247,M,Union des Socits Franais de Sports Athletiques,GBR,1900,Summer,Cricket,Silver
107662,M,Denmark,DEN,1900,Summer,Athletics,Bronze
108188,M,France,FRA,1900,Summer,Fencing,Bronze
108188,M,France,FRA,1900,Summer,Fencing,Bronze
108195,M,Norway,NOR,1900,Summer,Shooting,Silver
108850,M,Brussels Swimming and Water Polo Club,BEL,1900,Summer,Water Polo,Silver
108898,M,France,FRA,1900,Summer,Archery,Silver
108898,M,France,FRA,1900,Summer,Archery,Silver
109494,M,United States,USA,1900,Summer,Athletics,Gold
109494,M,United States,USA,1900,Summer,Athletics,Bronze
109497,M,United States,USA,1900,Summer,Athletics,Bronze
114177,M,Switzerland,SUI,1900,Summer,Shooting,Bronze
114177,M,Switzerland,SUI,1900,Summer,Shooting,Gold
114177,M,Switzerland,SUI,1900,Summer,Shooting,Gold
114177,M,Switzerland,SUI,1900,Summer,Shooting,Gold
119439,M,United States,USA,1900,Summer,Athletics,Gold
119448,M,Quand-Mme-2,FRA,1900,Summer,Sailing,Silver
119449,M,Quand-Mme-2,FRA,1900,Summer,Sailing,Silver
119534,M,Luxembourg,LUX,1900,Summer,Athletics,Gold
119640,M,France,FRA,1900,Summer,Archery,Silver
119640,M,France,FRA,1900,Summer,Archery,Silver
119647,M,France,FRA,1900,Summer,Fencing,Silver
119839,M,France,FRA,1900,Summer,Shooting,Bronze
119866,M,France-1,FRA,1900,Summer,Equestrianism,Silver
120077,M,Univ. of Brussels,GBR,1900,Summer,Football,Bronze
120277,M,"Germania Ruder Club, Hamburg-2",GER,1900,Summer,Rowing,Gold
120829,M,Devon and Somerset Wanderers,GBR,1900,Summer,Cricket,Gold
120863,M,Union des Socits Franais de Sports Athletiques,FRA,1900,Summer,Cricket,Silver
121133,M,France,FRA,1900,Summer,Athletics,Bronze
121939,M,France,FRA,1900,Summer,Shooting,Silver
119439,M,United States,USA,1900,Summer,Athletics,Bronze
106157,M,France,FRA,1900,Summer,Croquet,Bronze
119439,M,United States,USA,1900,Summer,Athletics,Gold
119439,M,United States,USA,1900,Summer,Athletics,Silver
5538,M,Great Britain,GBR,1900,Summer,Rowing,Bronze
114396,M,"Osborne Swimming Club, Manchester",GBR,1900,Summer,Water Polo,Gold
115309,M,Frankfurt Club,GER,1900,Summer,Rugby,Silver
116681,M,Favorite-1,FRA,1900,Summer,Sailing,Silver
4914,M,France,FRA,1900,Summer,Equestrianism,Silver
117111,M,Netherlands,NED,1900,Summer,Shooting,Bronze
117244,M,Devon and Somerset Wanderers,GBR,1900,Summer,Cricket,Gold
117827,M,France,FRA,1900,Summer,Cycling,Gold
118101,M,Moseley Wanderers,GBR,1900,Summer,Rugby,Silver
118662,M,Pupilles de Neptune de Lille-1,FRA,1900,Summer,Swimming,Bronze
118788,M,France,FRA,1900,Summer,Athletics,Silver
118894,M,Bona Fide,GBR,1900,Summer,Sailing,Gold
119107,M,Sarcelle-3,FRA,1900,Summer,Sailing,Bronze
119315,M,Union des Socits Franais de Sports Athletiques,GBR,1900,Summer,Cricket,Silver
119335,M,Minerva Amsterdam,NED,1900,Summer,Rowing,Silver
119439,M,United States,USA,1900,Summer,Athletics,Silver
93735,M,Libellule de Paris,FRA,1900,Summer,Water Polo,Bronze
105848,M,Union des Socits Franais de Sports Athletiques,FRA,1900,Summer,Rugby,Gold
105673,M,France,FRA,1900,Summer,Cycling,Silver
97040,M,United States,USA,1900,Summer,Athletics,Gold
97066,M,India,IND,1900,Summer,Athletics,Silver
97066,M,India,IND,1900,Summer,Athletics,Silver
97090,M,Switzerland,SUI,1900,Summer,Shooting,Gold
8716,M,Hungary,HUN,1900,Summer,Athletics,Gold
75597,M,Pupilles de Neptune de Lille #2-1,FRA,1900,Summer,Water Polo,Bronze
97040,M,United States,USA,1900,Summer,Athletics,Silver
8684,M,Nina Claire-2,FRA,1900,Summer,Sailing,Bronze
8683,M,Crabe II-4,FRA,1900,Summer,Sailing,Bronze
8683,M,Crabe II-1,FRA,1900,Summer,Sailing,Silver
97829,M,Upton Park FC,GBR,1900,Summer,Football,Gold
97858,M,Cicely-1,GBR,1900,Summer,Sailing,Gold
98322,M,Racing Club de France,FRA,1900,Summer,Athletics,Silver
